environment_id,latitude,longitude,season_start,season_end,altitude_m
2018_Waldo,29.795286,-82.129853,2017-06-01,2018-05-31,30
2019_Waldo,29.795286,-82.129853,2018-06-01,2019-05-31,30
2020_Waldo,29.795286,-82.129853,2019-06-01,2020-05-31,30
2021_Waldo,29.795286,-82.129853,2020-06-01,2021-05-31,30
2022_Waldo,29.795286,-82.129853,2021-06-01,2022-05-31,30
2018_Citra,29.410918,-82.143678,2017-06-01,2018-05-31,30
2019_Citra,29.410918,-82.143678,2018-06-01,2019-05-31,30
2020_Citra,29.410918,-82.143678,2019-06-01,2020-05-31,30
2021_Citra,29.410918,-82.143678,2020-06-01,2021-05-31,30
2022_Citra,29.410918,-82.143678,2021-06-01,2022-05-31,30
2018_Dole,28.164319,-81.603555,2017-06-01,2018-05-31,30
2019_Dole,28.164319,-81.603555,2018-06-01,2019-05-31,30
2020_Dole,28.164319,-81.603555,2019-06-01,2020-05-31,30
2021_Dole,28.164319,-81.603555,2020-06-01,2021-05-31,30
2022_Dole,28.164319,-81.603555,2021-06-01,2022-05-31,30
2018_Frogmore,28.375781,-82.344865,2017-06-01,2018-05-31,30
2019_Frogmore,28.375781,-82.344865,2018-06-01,2019-05-31,30
2020_Frogmore,28.375781,-82.344865,2019-06-01,2020-05-31,30
2021_Frogmore,28.375781,-82.344865,2020-06-01,2021-05-31,30
2022_Frogmore,28.375781,-82.344865,2021-06-01,2022-05-31,30
2018_Island Grove,27.285777,-81.840605,2017-06-01,2018-05-31,30
2019_Island Grove,27.285777,-81.840605,2018-06-01,2019-05-31,30
2018_Andrew Fredericks,27.260197,-81.83467,2017-06-01,2018-05-31,30
2019_Andrew Fredericks,27.260197,-81.83467,2018-06-01,2019-05-31,30
2020_Andrew Fredericks,27.260197,-81.83467,2019-06-01,2020-05-31,30
2021_Andrew Fredericks,27.260197,-81.83467,2020-06-01,2021-05-31,30
2021_Wildgoose,28.971513,-81.785332,2020-06-01,2021-05-31,30
2022_Wildgoose,28.971513,-81.785332,2021-06-01,2022-05-31,30
2021_Atwood Farms,28.96287,-81.741508,2020-06-01,2021-05-31,30
2022_Atwood Farms,28.96287,-81.741508,2021-06-01,2022-05-31,30
