environment_id,latitude,longitude,season_start,season_end,altitude_m
2018_Waldo,29.795286,-82.129853,2017-06-01,2017-09-28,30
2019_Waldo,29.795286,-82.129853,2018-06-01,2018-09-28,30
2020_Waldo,29.795286,-82.129853,2019-06-01,2019-09-28,30
2018_Citra,29.410918,-82.143678,2017-06-01,2017-09-28,30
2019_Citra,29.410918,-82.143678,2018-06-01,2018-09-28,30
2020_Citra,29.410918,-82.143678,2019-06-01,2019-09-28,30
2018_Dole,28.164319,-81.603555,2017-06-01,2017-09-28,30
2019_Dole,28.164319,-81.603555,2018-06-01,2018-09-28,30
2020_Dole,28.164319,-81.603555,2019-06-01,2019-09-28,30
2018_Frogmore,28.375781,-82.344865,2017-06-01,2017-09-28,30
2019_Frogmore,28.375781,-82.344865,2018-06-01,2018-09-28,30
2020_Frogmore,28.375781,-82.344865,2019-06-01,2019-09-28,30
