environment_id,genotype_id,weight,brix,tta,firmness,size
2018_Waldo,G001,2.033,9.929,0.818,169.42,15.43
2018_Waldo,G002,2.281,10.703,0.815,167.25,15.48
2018_Waldo,G003,1.72,10.14,0.811,169.03,15.0
2018_Waldo,G004,2.109,10.582,0.78,173.49,14.85
2018_Waldo,G005,2.277,10.788,0.819,172.6,15.21
2018_Waldo,G006,2.094,10.55,0.802,175.31,15.17
2019_Waldo,G001,1.969,10.56,0.867,164.65,15.33
2019_Waldo,G002,2.111,10.702,0.796,159.14,15.44
2019_Waldo,G003,1.776,10.559,0.84,166.07,14.77
2019_Waldo,G004,2.045,10.696,0.882,165.59,15.05
2019_Waldo,G005,2.122,11.028,0.838,174.43,16.27
2019_Waldo,G006,2.105,10.249,0.831,164.65,15.19
2020_Waldo,G001,2.175,10.912,0.76,181.12,15.8
2020_Waldo,G002,2.37,11.321,0.798,180.36,16.12
2020_Waldo,G003,2.016,11.145,0.824,170.33,15.43
2020_Waldo,G004,2.397,10.966,0.801,178.09,15.66
2020_Waldo,G005,2.441,11.09,0.768,176.35,15.92
2020_Waldo,G006,2.364,11.429,0.802,167.72,16.05
2018_Citra,G001,1.81,10.449,0.859,161.13,14.9
2018_Citra,G002,2.033,10.745,0.849,170.75,15.38
2018_Citra,G003,1.705,9.808,0.897,155.0,14.86
2018_Citra,G004,1.844,10.067,0.905,159.75,15.29
2018_Citra,G005,2.161,10.35,0.843,164.13,15.28
2018_Citra,G006,1.902,10.291,0.875,166.28,14.72
2019_Citra,G001,2.313,11.134,0.774,179.1,15.77
2019_Citra,G002,2.333,11.67,0.778,180.3,15.93
2019_Citra,G003,2.137,10.924,0.759,168.33,15.9
2019_Citra,G004,2.379,11.099,0.819,180.79,15.83
2019_Citra,G005,2.53,11.337,0.752,183.57,16.25
2019_Citra,G006,2.245,11.142,0.774,183.59,15.51
2020_Citra,G001,2.162,10.907,0.822,174.01,16.14
2020_Citra,G002,2.426,10.997,0.795,177.28,16.12
2020_Citra,G003,1.883,10.74,0.819,174.02,14.9
2020_Citra,G004,2.369,11.019,0.747,163.86,15.39
2020_Citra,G005,2.488,11.13,0.799,179.42,15.77
2020_Citra,G006,2.294,11.089,0.797,174.39,16.08
2018_Dole,G001,2.26,11.05,0.763,182.76,15.93
2018_Dole,G002,2.435,11.572,0.821,183.82,16.48
2018_Dole,G003,2.19,11.035,0.787,168.27,15.67
2018_Dole,G004,2.327,11.194,0.754,179.0,16.17
2018_Dole,G005,2.598,10.921,0.743,179.82,16.38
2018_Dole,G006,2.485,11.386,0.75,182.82,16.0
2019_Dole,G001,2.248,11.514,0.791,183.34,15.87
2019_Dole,G002,2.614,11.277,0.778,182.01,16.19
2019_Dole,G003,1.943,11.172,0.783,172.84,16.22
2019_Dole,G004,2.314,11.215,0.745,178.97,16.37
2019_Dole,G005,2.755,11.272,0.738,182.35,16.71
2019_Dole,G006,2.564,11.356,0.729,177.68,16.23
2020_Dole,G001,2.37,10.785,0.765,185.53,15.94
2020_Dole,G002,2.626,11.536,0.737,182.4,16.18
2020_Dole,G003,2.047,10.978,0.821,170.08,16.02
2020_Dole,G004,2.359,11.322,0.784,178.35,16.22
2020_Dole,G005,2.46,11.53,0.697,185.59,16.57
2020_Dole,G006,2.511,11.031,0.737,179.67,16.2
2018_Frogmore,G001,2.4,11.781,0.738,186.51,16.66
2018_Frogmore,G002,2.761,11.721,0.673,192.69,16.51
2018_Frogmore,G003,2.313,11.823,0.776,182.43,16.43
2018_Frogmore,G004,2.514,11.873,0.725,194.25,16.48
2018_Frogmore,G005,2.841,12.168,0.713,190.65,17.53
2018_Frogmore,G006,2.611,11.822,0.732,192.08,16.65
2019_Frogmore,G001,2.631,11.896,0.687,199.27,16.67
2019_Frogmore,G002,2.874,11.943,0.697,193.36,16.55
2019_Frogmore,G003,2.43,11.772,0.755,180.82,16.33
2019_Frogmore,G004,2.641,12.342,0.69,194.6,17.05
2019_Frogmore,G005,2.931,11.729,0.666,201.55,16.76
2019_Frogmore,G006,2.811,12.037,0.718,195.92,16.65
2020_Frogmore,G001,2.23,11.443,0.761,167.4,16.12
2020_Frogmore,G002,2.406,11.454,0.802,182.99,16.42
2020_Frogmore,G003,2.118,11.581,0.76,173.31,15.88
2020_Frogmore,G004,2.36,11.58,0.762,188.37,16.57
2020_Frogmore,G005,2.628,11.522,0.791,181.1,15.99
2020_Frogmore,G006,2.543,11.387,0.764,181.82,15.52
