environment_id,date,temperature,precipitation,solar_radiation
2018_Waldo,2017-06-01,23.32,0.0,20.943
2018_Waldo,2017-06-02,24.91,0.0,20.825
2018_Waldo,2017-06-03,25.218,9.741,20.204
2018_Waldo,2017-06-04,23.061,0.887,21.393
2018_Waldo,2017-06-05,23.734,0.018,20.083
2018_Waldo,2017-06-06,25.031,0.0,21.563
2018_Waldo,2017-06-07,24.826,0.114,21.938
2018_Waldo,2017-06-08,25.214,1.583,21.167
2018_Waldo,2017-06-09,24.69,0.0,20.454
2018_Waldo,2017-06-10,26.218,0.606,21.127
2018_Waldo,2017-06-11,26.275,1.77,20.289
2018_Waldo,2017-06-12,25.839,0.0,21.452
2018_Waldo,2017-06-13,26.818,0.0,18.596
2018_Waldo,2017-06-14,26.414,2.0,19.996
2018_Waldo,2017-06-15,25.472,0.0,18.239
2018_Waldo,2017-06-16,26.569,0.0,18.626
2018_Waldo,2017-06-17,25.615,0.0,21.371
2018_Waldo,2017-06-18,27.187,0.0,20.783
2018_Waldo,2017-06-19,26.539,0.037,19.044
2018_Waldo,2017-06-20,26.52,0.984,18.131
2018_Waldo,2017-06-21,26.206,0.0,16.535
2018_Waldo,2017-06-22,27.803,1.733,18.818
2018_Waldo,2017-06-23,26.769,10.576,21.641
2018_Waldo,2017-06-24,26.61,0.0,19.51
2018_Waldo,2017-06-25,26.724,4.097,18.367
2018_Waldo,2017-06-26,27.476,0.0,19.242
2018_Waldo,2017-06-27,27.379,0.772,17.063
2018_Waldo,2017-06-28,27.446,2.955,18.172
2018_Waldo,2017-06-29,27.481,0.137,18.413
2018_Waldo,2017-06-30,28.862,0.0,18.071
2018_Waldo,2017-07-01,26.827,0.524,18.791
2018_Waldo,2017-07-02,26.738,0.0,18.188
2018_Waldo,2017-07-03,26.485,0.0,18.355
2018_Waldo,2017-07-04,27.608,0.0,16.842
2018_Waldo,2017-07-05,27.99,0.752,18.274
2018_Waldo,2017-07-06,26.959,0.0,18.852
2018_Waldo,2017-07-07,26.333,0.489,16.103
2018_Waldo,2017-07-08,26.294,3.133,16.037
2018_Waldo,2017-07-09,27.413,0.0,18.116
2018_Waldo,2017-07-10,27.42,0.0,16.447
2018_Waldo,2017-07-11,27.185,0.0,17.904
2018_Waldo,2017-07-12,26.136,3.946,15.924
2018_Waldo,2017-07-13,26.765,0.202,17.692
2018_Waldo,2017-07-14,26.577,0.0,16.244
2018_Waldo,2017-07-15,26.557,1.57,16.251
2018_Waldo,2017-07-16,26.971,0.0,17.443
2018_Waldo,2017-07-17,26.339,2.009,15.409
2018_Waldo,2017-07-18,26.583,0.162,14.727
2018_Waldo,2017-07-19,25.97,1.2,15.124
2018_Waldo,2017-07-20,26.018,2.329,15.936
2018_Waldo,2017-07-21,26.157,5.143,13.836
2018_Waldo,2017-07-22,24.349,0.0,15.964
2018_Waldo,2017-07-23,25.117,0.0,14.721
2018_Waldo,2017-07-24,24.851,0.0,16.347
2018_Waldo,2017-07-25,24.568,0.0,12.753
2018_Waldo,2017-07-26,24.709,6.911,14.316
2018_Waldo,2017-07-27,25.972,1.169,13.379
2018_Waldo,2017-07-28,23.929,1.233,14.211
2018_Waldo,2017-07-29,25.241,0.0,15.264
2018_Waldo,2017-07-30,22.963,0.545,14.825
2018_Waldo,2017-07-31,23.884,0.0,14.747
2018_Waldo,2017-08-01,24.126,0.0,14.845
2018_Waldo,2017-08-02,24.308,2.316,15.22
2018_Waldo,2017-08-03,24.252,5.622,14.028
2018_Waldo,2017-08-04,24.163,0.251,15.772
2018_Waldo,2017-08-05,23.097,0.0,15.765
2018_Waldo,2017-08-06,22.855,0.275,15.532
2018_Waldo,2017-08-07,23.764,0.0,15.756
2018_Waldo,2017-08-08,22.779,0.331,15.556
2018_Waldo,2017-08-09,21.77,2.288,17.362
2018_Waldo,2017-08-10,21.746,0.0,15.315
2018_Waldo,2017-08-11,21.783,0.0,15.177
2018_Waldo,2017-08-12,22.787,0.0,14.819
2018_Waldo,2017-08-13,22.378,0.349,14.636
2018_Waldo,2017-08-14,22.697,0.0,14.526
2018_Waldo,2017-08-15,21.689,0.996,14.99
2018_Waldo,2017-08-16,22.05,0.153,15.922
2018_Waldo,2017-08-17,22.321,0.059,16.446
2018_Waldo,2017-08-18,21.478,0.0,16.288
2018_Waldo,2017-08-19,22.002,8.4,15.601
2018_Waldo,2017-08-20,21.025,0.0,17.4
2018_Waldo,2017-08-21,21.189,2.755,17.377
2018_Waldo,2017-08-22,21.106,0.228,16.62
2018_Waldo,2017-08-23,20.395,1.728,16.272
2018_Waldo,2017-08-24,21.689,1.424,17.621
2018_Waldo,2017-08-25,20.879,0.0,17.412
2018_Waldo,2017-08-26,21.228,0.0,15.928
2018_Waldo,2017-08-27,21.574,0.0,17.463
2018_Waldo,2017-08-28,21.526,0.0,17.948
2018_Waldo,2017-08-29,21.689,0.0,16.943
2018_Waldo,2017-08-30,21.074,0.0,18.19
2018_Waldo,2017-08-31,20.818,0.0,16.702
2018_Waldo,2017-09-01,21.105,0.0,19.65
2018_Waldo,2017-09-02,19.839,0.0,19.717
2018_Waldo,2017-09-03,20.06,1.85,18.371
2018_Waldo,2017-09-04,20.196,0.676,19.14
2018_Waldo,2017-09-05,20.501,0.0,16.517
2018_Waldo,2017-09-06,21.671,0.0,17.919
2018_Waldo,2017-09-07,20.687,0.0,18.926
2018_Waldo,2017-09-08,21.177,13.018,18.29
2018_Waldo,2017-09-09,22.594,0.0,20.214
2018_Waldo,2017-09-10,21.351,0.0,21.631
2018_Waldo,2017-09-11,22.315,0.0,18.587
2018_Waldo,2017-09-12,21.074,0.0,19.05
2018_Waldo,2017-09-13,21.759,0.0,20.243
2018_Waldo,2017-09-14,21.271,2.138,21.732
2018_Waldo,2017-09-15,21.874,1.783,19.007
2018_Waldo,2017-09-16,22.937,5.032,20.58
2018_Waldo,2017-09-17,21.007,2.359,22.248
2018_Waldo,2017-09-18,22.866,0.193,18.864
2018_Waldo,2017-09-19,22.843,0.0,19.317
2018_Waldo,2017-09-20,22.315,1.198,20.249
2018_Waldo,2017-09-21,21.775,0.0,20.22
2018_Waldo,2017-09-22,23.135,0.0,21.613
2018_Waldo,2017-09-23,22.802,0.618,21.095
2018_Waldo,2017-09-24,23.562,0.0,19.123
2018_Waldo,2017-09-25,23.546,0.0,21.45
2018_Waldo,2017-09-26,24.964,1.293,20.386
2018_Waldo,2017-09-27,23.647,3.807,22.258
2018_Waldo,2017-09-28,23.177,10.584,20.368
2019_Waldo,2018-06-01,24.365,0.0,21.598
2019_Waldo,2018-06-02,24.699,0.0,21.516
2019_Waldo,2018-06-03,24.604,0.267,19.886
2019_Waldo,2018-06-04,23.053,0.237,21.664
2019_Waldo,2018-06-05,24.986,0.005,19.579
2019_Waldo,2018-06-06,23.881,0.0,20.103
2019_Waldo,2018-06-07,25.047,2.541,22.157
2019_Waldo,2018-06-08,23.868,0.0,21.641
2019_Waldo,2018-06-09,25.509,6.431,22.228
2019_Waldo,2018-06-10,24.648,0.0,20.401
2019_Waldo,2018-06-11,24.406,6.498,19.446
2019_Waldo,2018-06-12,26.137,0.0,20.276
2019_Waldo,2018-06-13,25.888,2.392,20.529
2019_Waldo,2018-06-14,25.328,5.343,20.41
2019_Waldo,2018-06-15,27.1,0.0,21.363
2019_Waldo,2018-06-16,25.7,0.449,19.76
2019_Waldo,2018-06-17,26.187,0.0,20.359
2019_Waldo,2018-06-18,26.478,0.026,18.899
2019_Waldo,2018-06-19,25.863,0.0,20.214
2019_Waldo,2018-06-20,26.825,0.0,19.637
2019_Waldo,2018-06-21,26.103,0.0,18.75
2019_Waldo,2018-06-22,26.275,0.0,19.126
2019_Waldo,2018-06-23,27.762,0.0,19.036
2019_Waldo,2018-06-24,25.9,3.317,18.805
